Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
6.279120813665396e-35,6.483252068228755e-35,3.349491859495551e-34,1.4488603954488425e-34,2.1577395163989946e-34,2.5621126541751964e-34,2.57256819600778e-34,2.492304164816852e-34,7.496131320754716e-19
6.181945801084917e-35,6.342949253975185e-35,3.310698192091895e-34,1.4371125084831869e-34,2.129157048005942e-34,2.527949889877121e-34,2.564369147916637e-34,2.4440110349358752e-34,7.467950375939848e-19
6.098722461475588e-35,6.38383197523624e-35,3.293330378191828e-34,1.40730911998543e-34,2.1386122657709505e-34,2.529680982008898e-34,2.5077182010300226e-34,2.4455646182003643e-34,7.43998052434457e-19
5.968697525288055e-35,6.175958184880403e-35,3.209556871501682e-34,1.406142024710354e-34,2.0715615584492e-34,2.473596173311422e-34,2.495421463887876e-34,2.4050434034114413e-34,7.412219402985074e-19
5.949427038476149e-35,6.088824310354682e-35,3.158216293003422e-34,1.3863821723257615e-34,2.065674472388849e-34,2.432401557088517e-34,2.465848823171361e-34,2.360280866880482e-34,7.384664684014869e-19
5.885306228207893e-35,6.061036560925417e-35,3.1252512493567033e-34,1.3660672053303136e-34,2.0424887926153804e-34,2.430039312972907e-34,2.4463923801775763e-34,2.3509081704953203e-34,7.357314074074074e-19
5.842787518645821e-35,5.897239369133338e-35,3.0983362829213463e-34,1.3753828896078938e-34,2.022817410928685e-34,2.420763281154171e-34,2.439798770685517e-34,2.32940142882023e-34,7.330165313653136e-19
5.789703427457982e-35,5.842455020760891e-35,3.0591201760670078e-34,1.3437902650344561e-34,1.9763918884922864e-34,2.3738020733620876e-34,2.3976023972974834e-34,2.294257895552386e-34,7.303216176470588e-19
5.722786247205898e-35,5.771573911697174e-35,3.004952746292677e-34,1.313175335339034e-34,1.970650807189652e-34,2.3365756801132903e-34,2.35826271352212e-34,2.284047145750873e-34,7.276464468864468e-19
5.60698349067144e-35,5.713135750287235e-35,2.9794650134662765e-34,1.3198416449158664e-34,1.9455739402557954e-34,2.3043304890011626e-34,2.315288014808059e-34,2.2432639857936415e-34,7.249908029197081e-19
5.633428915451331e-35,5.62726891056371e-35,2.9808556012672918e-34,1.2936013517217102e-34,1.9267473051474193e-34,2.3129433405244654e-34,2.3107984348857896e-34,2.218483637318714e-34,7.223544727272726e-19
5.614114507508783e-35,5.494201713152472e-35,2.950360070960701e-34,1.2869223425835178e-34,1.9374049437645546e-34,2.287117248564911e-34,2.298639010334421e-34,2.2146665368223787e-34,7.197372463768115e-19
5.545226452712709e-35,5.554066291224566e-35,2.9170709959393225e-34,1.276544560591507e-34,1.9057391700980672e-34,2.256150147292096e-34,2.2735416798942604e-34,2.1871586061868257e-34,7.17138916967509e-19
5.49097793946367e-35,5.486731160304448e-35,2.9142511681097514e-34,1.2724310245063705e-34,1.8917218676783342e-34,2.238419659011299e-34,2.250223231746676e-34,2.1624766097466144e-34,7.145592805755395e-19
5.425302648754671e-35,5.368432507164456e-35,2.87545111098306e-34,1.2542355283707688e-34,1.8386724422885126e-34,2.2201815990100815e-34,2.224308498882823e-34,2.163425400052038e-34,7.119981362007169e-19
5.378396791973272e-35,5.367698338794778e-35,2.8513887241497952e-34,1.256433932111693e-34,1.858717072167532e-34,2.200169540657175e-34,2.1997711439617202e-34,2.1738618517984358e-34,7.094552857142857e-19
5.323093736770743e-35,5.232069199833989e-35,2.8216210928978593e-34,1.2353417156858246e-34,1.8326389458678815e-34,2.1773960757334193e-34,2.1823286189630773e-34,2.1174088225880457e-34,7.06930533807829e-19
